Units Processed,Time (s)
759,1.5300000086426735e-05
760,2.4999899324029684e-06
761,7.999769877642393e-07
762,1.580000389367342e-05
763,1.5700003132224083e-05
764,1.5300000086426735e-05
765,8.00006091594696e-07
766,9.199982741847634e-06
767,6.00004568696022e-07
768,1.1500000255182385e-05
769,7.299997378140688e-06
770,1.3999815564602613e-06
771,7.200025720521808e-06
772,6.00004568696022e-07
773,1.0100018698722124e-05
774,2.2899999748915434e-05
775,1.5900004655122757e-05
776,1.550000160932541e-05
777,5.399982910603285e-06
778,1.600012183189392e-06
779,1.400001929141581e-05
780,3.4500000765547156e-05
781,1.5600002370774746e-05
782,9.400013368576765e-06
783,1.700012944638729e-06
784,1.1199997970834374e-05
785,1.0500021744519472e-05
786,1.0499992640689015e-05
787,7.00005330145359e-07
788,1.6299978597089648e-05
789,1.0599993402138352e-05
790,4.599976819008589e-06
791,6.00004568696022e-07
792,1.0200019460171461e-05
793,9.100011084228754e-06
794,5.00003807246685e-07
795,9.800016414374113e-06
796,9.700015652924776e-06
797,4.7000066842883825e-06
798,6.00004568696022e-07
799,5.4000120144337416e-06
800,5.00003807246685e-07
801,1.0299991117790341e-05
802,7.199996616691351e-06
803,6.999762263149023e-07
804,1.0299991117790341e-05
805,2.1999876480549574e-06
806,6.00004568696022e-07
807,1.0300020221620798e-05
808,1.5199999324977398e-05
809,7.00005330145359e-07
810,1.1199997970834374e-05
811,1.1800002539530396e-05
812,1.1100026313215494e-05
813,1.1800002539530396e-05
814,1.069999416358769e-05
815,1.0499992640689015e-05
816,8.300004992634058e-06
817,7.00005330145359e-07
818,1.1399999493733048e-05
819,7.00005330145359e-07
820,5.5000127758830786e-06
821,5.00003807246685e-07
822,5.00003807246685e-07
823,5.00003807246685e-07
824,5.00003807246685e-07
825,2.500019036233425e-06
826,7.00005330145359e-07
827,5.299982149153948e-06
828,6.00004568696022e-07
829,5.3000112529844046e-06
830,7.00005330145359e-07
831,5.00003807246685e-07
832,5.999754648655653e-07
833,6.00004568696022e-07
834,2.100015990436077e-06
835,5.00003807246685e-07
836,1.9999861251562834e-06
837,4.2000028770416975e-06
838,1.6999838408082724e-06
839,1.7400016076862812e-05
840,1.09999964479357e-05
841,1.0100018698722124e-05
842,1.0299991117790341e-05
843,9.799987310543656e-06
844,4.699977580457926e-06
845,5.00003807246685e-07
846,6.299989763647318e-06
847,4.999747034162283e-07
848,1.0799994925037026e-05
849,6.299989763647318e-06
850,4.999747034162283e-07
851,1.0600022505968809e-05
852,9.100011084228754e-06
853,5.00003807246685e-07
854,1.0099989594891667e-05
855,9.99998883344233e-06
856,1.800013706088066e-06
857,5.00003807246685e-07
858,1.4999997802078724e-05
859,7.099995855242014e-06
860,9.00006853044033e-07
861,2.1499989088624716e-05
862,9.600014891475439e-06
863,2.0999868866056204e-06
864,1.4100020052865148e-05
865,1.2399978004395962e-05
866,1.00000761449337e-06
867,1.5199999324977398e-05
868,2.900022082030773e-06
869,8.00006091594696e-07
870,1.5300000086426735e-05
871,7.399998139590025e-06
872,8.00006091594696e-07
873,5.499983672052622e-06
874,1.00000761449337e-06
875,1.6300007700920105e-05
876,1.550000160932541e-05
877,7.399998139590025e-06
878,8.00006091594696e-07
879,1.5600002370774746e-05
880,5.4000120144337416e-06
881,8.00006091594696e-07
882,1.5300000086426735e-05
883,8.200004231184721e-06
884,9.00006853044033e-07
885,1.550000160932541e-05
886,1.4199991710484028e-05
887,9.69998654909432e-06
888,1.0100018698722124e-05
889,9.90001717582345e-06
890,4.0000013541430235e-06
891,6.00004568696022e-07
892,1.0000017937272787e-05
893,2.00001522898674e-06
894,5.00003807246685e-07
895,1.0199990356341004e-05
896,1.0199990356341004e-05
897,1.0299991117790341e-05
898,9.499985026195645e-06
899,5.0000089686363935e-06
900,6.00004568696022e-07
901,8.799979696050286e-06
902,1.700012944638729e-06
903,1.1500000255182385e-05
904,1.800013706088066e-06
905,6.00004568696022e-07
906,6.399990525096655e-06
907,5.00003807246685e-07
908,1.0599993402138352e-05
909,9.69998654909432e-06
910,9.599985787644982e-06
911,5.700014298781753e-06
912,5.00003807246685e-07
913,9.800016414374113e-06
914,1.0299991117790341e-05
915,1.0399991879239678e-05
916,1.2999807950109243e-06
917,6.00004568696022e-07
918,9.200011845678091e-06
919,9.399984264746308e-06
920,9.899988071992993e-06
921,1.0299991117790341e-05
922,3.9000005926936865e-06
923,4.999747034162283e-07
924,2.340000355616212e-05
925,1.0700023267418146e-05
926,6.00004568696022e-07
927,1.0599993402138352e-05
928,1.0299991117790341e-05
929,9.399984264746308e-06
930,1.0099989594891667e-05
931,9.69998654909432e-06
932,9.799987310543656e-06
933,1.3999815564602613e-06
934,6.00004568696022e-07
935,9.700015652924776e-06
936,4.4000043999403715e-06
937,5.00003807246685e-07
938,9.599985787644982e-06
939,1.0299991117790341e-05
940,1.4999823179095984e-06
941,6.00004568696022e-07
942,5.600013537332416e-06
943,6.00004568696022e-07
944,5.00003807246685e-07
945,5.00003807246685e-07
946,5.00003807246685e-07
947,2.500019036233425e-06
948,5.00003807246685e-07
949,1.2800010154023767e-05
950,1.600012183189392e-06
951,1.600012183189392e-06
952,7.00005330145359e-07
953,5.00003807246685e-07
954,5.00003807246685e-07
955,2.1999876480549574e-06
956,5.00003807246685e-07
957,5.999754648655653e-07
958,2.4999899324029684e-06
959,7.00005330145359e-07
960,9.600014891475439e-06
961,9.899988071992993e-06
962,1.0000017937272787e-05
963,9.90001717582345e-06
964,1.0199990356341004e-05
965,1.0199990356341004e-05
966,9.299983503296971e-06
967,1.0099989594891667e-05
968,1.0200019460171461e-05
969,9.899988071992993e-06
970,9.500014130026102e-06
971,6.89999433234334e-06
972,6.00004568696022e-07
973,1.0399991879239678e-05
974,9.399984264746308e-06
975,6.400019628927112e-06
976,5.00003807246685e-07
977,1.0399991879239678e-05
978,9.500014130026102e-06
979,9.90001717582345e-06
980,9.100011084228754e-06
981,9.799987310543656e-06
982,8.100003469735384e-06
983,5.00003807246685e-07
984,1.0299991117790341e-05
985,9.000010322779417e-06
986,9.99998883344233e-06
987,1.0199990356341004e-05
988,9.400013368576765e-06
989,1.5200028428807855e-05
990,1.4999997802078724e-05
991,1.4599994756281376e-05
992,1.5600002370774746e-05
993,7.90000194683671e-06
994,8.00006091594696e-07
995,3.7999998312443495e-06
996,8.00006091594696e-07
997,7.200025720521808e-06
998,8.00006091594696e-07
999,8.000002708286047e-06
1000,8.00006091594696e-07
1001,1.4299992471933365e-05
1002,1.4599994756281376e-05
1003,1.5099998563528061e-05
1004,1.5199999324977398e-05
1005,1.4999997802078724e-05
1006,1.3199984095990658e-05
1007,1.4699995517730713e-05
1008,1.3399985618889332e-05
1009,3.4999975468963385e-06
1010,1.4399993233382702e-05
1011,1.500002690590918e-05
1012,1.6700010746717453e-05
1013,1.5600002370774746e-05
1014,1.580000389367342e-05
1015,1.1900003300979733e-05
1016,9.200011845678091e-06
1017,1.0199990356341004e-05
1018,9.299983503296971e-06
1019,1.0099989594891667e-05
1020,9.800016414374113e-06
1021,1.0200019460171461e-05
1022,1.5199999324977398e-05
1023,1.0199990356341004e-05
1024,1.500011421740055e-06
1025,6.00004568696022e-07
1026,9.90001717582345e-06
1027,9.799987310543656e-06
1028,9.399984264746308e-06
1029,9.000010322779417e-06
1030,1.0299991117790341e-05
1031,1.6399979358538985e-05
1032,1.1900003300979733e-05
